sample_ids,sample_event_number,sample_bin_code,sample_number,location_code,first_sample_date,sample_bin_id,sample_event_id,location_id
BTC_1_A_1,1,A,1,BTC,2022-01-10,2,2,2
BTC_1_A_1,1,A,1,BTC,2022-01-10,7,2,2
BTC_1_A_1,1,A,1,BTC,2022-01-10,12,2,2
BTC_1_A_1,1,A,1,BTC,2022-01-10,17,2,2
BTC_1_A_1,1,A,1,BTC,2022-01-10,22,2,2
BTC_1_A_1,1,A,1,BTC,2022-01-10,27,2,2
BTC_1_A_1,1,A,1,BTC,2022-01-10,32,2,2
BTC_1_A_1,1,A,1,BTC,2022-01-10,37,2,2
BTC_1_A_1,1,A,1,BTC,2022-01-10,42,2,2
BTC_1_A_1,1,A,1,BTC,2022-01-10,47,2,2
BTC_1_A_2,1,A,2,BTC,2022-01-10,2,2,2
BTC_1_A_2,1,A,2,BTC,2022-01-10,7,2,2
BTC_1_A_2,1,A,2,BTC,2022-01-10,12,2,2
BTC_1_A_2,1,A,2,BTC,2022-01-10,17,2,2
BTC_1_A_2,1,A,2,BTC,2022-01-10,22,2,2
BTC_1_A_2,1,A,2,BTC,2022-01-10,27,2,2
BTC_1_A_2,1,A,2,BTC,2022-01-10,32,2,2
BTC_1_A_2,1,A,2,BTC,2022-01-10,37,2,2
BTC_1_A_2,1,A,2,BTC,2022-01-10,42,2,2
BTC_1_A_2,1,A,2,BTC,2022-01-10,47,2,2
BTC_1_A_3,1,A,3,BTC,2022-01-10,2,2,2
BTC_1_A_3,1,A,3,BTC,2022-01-10,7,2,2
BTC_1_A_3,1,A,3,BTC,2022-01-10,12,2,2
BTC_1_A_3,1,A,3,BTC,2022-01-10,17,2,2
BTC_1_A_3,1,A,3,BTC,2022-01-10,22,2,2
BTC_1_A_3,1,A,3,BTC,2022-01-10,27,2,2
BTC_1_A_3,1,A,3,BTC,2022-01-10,32,2,2
BTC_1_A_3,1,A,3,BTC,2022-01-10,37,2,2
BTC_1_A_3,1,A,3,BTC,2022-01-10,42,2,2
BTC_1_A_3,1,A,3,BTC,2022-01-10,47,2,2
BTC22_10_B_1,10,B,1,BTC,2022-05-16,3,11,2
BTC22_10_B_1,10,B,1,BTC,2022-05-16,8,11,2
BTC22_10_B_1,10,B,1,BTC,2022-05-16,13,11,2
BTC22_10_B_1,10,B,1,BTC,2022-05-16,18,11,2
BTC22_10_B_1,10,B,1,BTC,2022-05-16,23,11,2
BTC22_10_B_1,10,B,1,BTC,2022-05-16,28,11,2
BTC22_10_B_1,10,B,1,BTC,2022-05-16,33,11,2
BTC22_10_B_1,10,B,1,BTC,2022-05-16,38,11,2
BTC22_10_B_1,10,B,1,BTC,2022-05-16,43,11,2
BTC22_10_B_1,10,B,1,BTC,2022-05-16,48,11,2
BTC22_10_B_2,10,B,2,BTC,2022-05-16,3,11,2
BTC22_10_B_2,10,B,2,BTC,2022-05-16,8,11,2
BTC22_10_B_2,10,B,2,BTC,2022-05-16,13,11,2
BTC22_10_B_2,10,B,2,BTC,2022-05-16,18,11,2
BTC22_10_B_2,10,B,2,BTC,2022-05-16,23,11,2
BTC22_10_B_2,10,B,2,BTC,2022-05-16,28,11,2
BTC22_10_B_2,10,B,2,BTC,2022-05-16,33,11,2
BTC22_10_B_2,10,B,2,BTC,2022-05-16,38,11,2
BTC22_10_B_2,10,B,2,BTC,2022-05-16,43,11,2
BTC22_10_B_2,10,B,2,BTC,2022-05-16,48,11,2
BTC22_10_B_3,10,B,3,BTC,2022-05-16,3,11,2
BTC22_10_B_3,10,B,3,BTC,2022-05-16,8,11,2
BTC22_10_B_3,10,B,3,BTC,2022-05-16,13,11,2
BTC22_10_B_3,10,B,3,BTC,2022-05-16,18,11,2
BTC22_10_B_3,10,B,3,BTC,2022-05-16,23,11,2
BTC22_10_B_3,10,B,3,BTC,2022-05-16,28,11,2
BTC22_10_B_3,10,B,3,BTC,2022-05-16,33,11,2
BTC22_10_B_3,10,B,3,BTC,2022-05-16,38,11,2
BTC22_10_B_3,10,B,3,BTC,2022-05-16,43,11,2
BTC22_10_B_3,10,B,3,BTC,2022-05-16,48,11,2
BTC22_10_C_1,10,C,1,BTC,2022-05-16,4,11,2
BTC22_10_C_1,10,C,1,BTC,2022-05-16,9,11,2
BTC22_10_C_1,10,C,1,BTC,2022-05-16,14,11,2
BTC22_10_C_1,10,C,1,BTC,2022-05-16,19,11,2
BTC22_10_C_1,10,C,1,BTC,2022-05-16,24,11,2
BTC22_10_C_1,10,C,1,BTC,2022-05-16,29,11,2
BTC22_10_C_1,10,C,1,BTC,2022-05-16,34,11,2
