sample_ids,sample_event_number,sample_bin_code,sample_number,location_code,first_sample_year,first_sample_date
BTC22_10_B_1,10,B,1,BTC,22,2022-01-01
BTC22_10_B_2,10,B,2,BTC,22,2022-01-01
BTC22_10_B_3,10,B,3,BTC,22,2022-01-01
BTC22_10_C_1,10,C,1,BTC,22,2022-01-01
BTC22_10_C_2,10,C,2,BTC,22,2022-01-01
BTC22_10_C_3,10,C,3,BTC,22,2022-01-01
BTC22_10_C_4,10,C,4,BTC,22,2022-01-01
BTC22_10_C_5,10,C,5,BTC,22,2022-01-01
BTC22_10_C_6,10,C,6,BTC,22,2022-01-01
BTC22_10_C_7,10,C,7,BTC,22,2022-01-01
BTC22_10_C_8,10,C,8,BTC,22,2022-01-01
BTC22_2_A_1,2,A,1,BTC,22,2022-01-01
BTC22_2_A_2,2,A,2,BTC,22,2022-01-01
BTC22_2_A_3,2,A,3,BTC,22,2022-01-01
BTC22_3_A_1,3,A,1,BTC,22,2022-01-01
BTC22_3_A_2,3,A,2,BTC,22,2022-01-01
BTC22_4_B_1,4,B,1,BTC,22,2022-01-01
BTC22_4_B_2,4,B,2,BTC,22,2022-01-01
BTC22_4_B_3,4,B,3,BTC,22,2022-01-01
BTC22_6_B_1,6,B,1,BTC,22,2022-01-01
BTC22_6_B_2,6,B,2,BTC,22,2022-01-01
BTC22_6_C_1,6,C,1,BTC,22,2022-01-01
BTC22_7_A_1,7,A,1,BTC,22,2022-01-01
BTC22_7_B_1,7,B,1,BTC,22,2022-01-01
BTC22_7_B_2,7,B,2,BTC,22,2022-01-01
BTC22_7_B_3,7,B,3,BTC,22,2022-01-01
BTC22_7_B_4,7,B,4,BTC,22,2022-01-01
BTC22_7_C_1,7,C,1,BTC,22,2022-01-01
BTC22_7_C_2,7,C,2,BTC,22,2022-01-01
BTC22_7_C_3,7,C,3,BTC,22,2022-01-01
BTC22_8_A_1,8,A,1,BTC,22,2022-01-01
BTC22_8_A_2,8,A,2,BTC,22,2022-01-01
BTC22_8_A_3,8,A,3,BTC,22,2022-01-01
BTC22_8_B_1,8,B,1,BTC,22,2022-01-01
BTC22_8_B_2,8,B,2,BTC,22,2022-01-01
BTC22_8_B_3,8,B,3,BTC,22,2022-01-01
BTC22_8_C_1,8,C,1,BTC,22,2022-01-01
BTC22_8_C_2,8,C,2,BTC,22,2022-01-01
BTC22_8_C_3,8,C,3,BTC,22,2022-01-01
BTC22_9_B_1,9,B,1,BTC,22,2022-01-01
BTC22_9_B_2,9,B,2,BTC,22,2022-01-01
BTC22_9_B_3,9,B,3,BTC,22,2022-01-01
BTC22_9_C_1,9,C,1,BTC,22,2022-01-01
BTC22_9_C_2,9,C,2,BTC,22,2022-01-01
BTC22_9_C_3,9,C,3,BTC,22,2022-01-01
BTC22_9_D_1,9,D,1,BTC,22,2022-01-01
BTC22_9_D_2,9,D,2,BTC,22,2022-01-01
BUT22_1_A_1,1,A,1,BUT,22,2022-01-01
BUT22_1_A_2,1,A,2,BUT,22,2022-01-01
BUT22_1_A_3,1,A,3,BUT,22,2022-01-01
BUT22_1_A_4,1,A,4,BUT,22,2022-01-01
BUT22_10_B_1,10,B,1,BUT,22,2022-01-01
BUT22_10_B_2,10,B,2,BUT,22,2022-01-01
BUT22_10_B_3,10,B,3,BUT,22,2022-01-01
BUT22_10_B_4,10,B,4,BUT,22,2022-01-01
BUT22_10_C_1,10,C,1,BUT,22,2022-01-01
BUT22_10_C_2,10,C,2,BUT,22,2022-01-01
BUT22_10_C_3,10,C,3,BUT,22,2022-01-01
BUT22_10_C_4,10,C,4,BUT,22,2022-01-01
BUT22_2_A_1,2,A,1,BUT,22,2022-01-01
BUT22_2_A_2,2,A,2,BUT,22,2022-01-01
