SampleID	Gtseq_Chr28_Geno	Pop_Structure_ID	CV_Fall	CV_Late_Fall	CV_Spring	CV_Winter	Tributary	ButteFall	FRHfall	FRHsp	MillDeerFall	SanJoaquinFall	ButteSp	MillDeerSp	ColemanLF	SacWin
BTC25_13_B_1	EARLY	WINTER	0	0	0	1		0	0	0	0	0	0	0	0	1
BTC25_13_B_4	EARLY	WINTER	0	0	0	1		0	0	0	0	0	0	0	0	1
BTC25_14_B_2	EARLY	WINTER	0	0	0	1		0	0	0	0	0	0	0	0	1
BTC25_14_C_1	LATE	FALL	1	0	0	0		0.051	0.464	0.027	0.147	0.31	0	0	0	0
BTC25_6_A_2	EARLY	SPRING	1	0	0	0	Feather River Spring	0	0.001	0.999	0	0	0	0	0	0
BUT25_13_X_2																
BUT25_5_A_8	HETEROZYGOTE	FALL	1	0	0	0		0.001	0.78	0.023	0.14	0.057	0	0	0	0
BUT25_6_A_6	LATE	FALL	1	0	0	0		0.104	0.396	0	0.497	0.003	0	0	0	0
BUT25_6_A_7	HETEROZYGOTE	FALL	1	0	0	0		0.001	0.838	0.005	0.022	0.134	0	0	0	0
CLR25_10_A_10	LATE	FALL	1	0	0	0		0.064	0.908	0	0.025	0.002	0	0	0	0
CLR25_10_A_23	HETEROZYGOTE	FALL	1	0	0	0		0.328	0.301	0.001	0.001	0.369	0	0	0.001	0
CLR25_10_A_25	HETEROZYGOTE	FALL	1	0	0	0		0.226	0.028	0.001	0.007	0.737	0	0	0	0
CLR25_10_A_28	HETEROZYGOTE	FALL	1	0	0	0		0	0.651	0.001	0.318	0.029	0	0	0	0
CLR25_10_A_5	HETEROZYGOTE	FALL	1	0	0	0		0.923	0.054	0.009	0.013	0.001	0	0	0	0
CLR25_10_B_1	HETEROZYGOTE	FALL	1	0	0	0		0.822	0.036	0	0.14	0.001	0	0	0.002	0
CLR25_11_A_19	HETEROZYGOTE	FALL	1	0	0	0		0.852	0.131	0.013	0.003	0.001	0	0	0	0
CLR25_11_A_23	LATE	FALL	1	0	0	0		0.02	0.956	0	0.002	0.022	0	0	0	0
CLR25_11_A_24	HETEROZYGOTE	FALL	1	0	0	0		0.018	0.919	0.038	0.016	0.009	0	0	0	0
