Order,Site,Site Abbrev,Sampling Event,Bin,SAMPLE #,Sample ID,Date,Time,FL (mm),Field Run ID,Fin Clip (Y/N),Comments,USFWS Biosample ID,
1,Battle,BTC,1,A,1,BTC_1_A_1,1/15/2022,13:55,36,Fall,Y,,22-55106,
2,Battle,BTC,1,A,2,BTC_1_A_2,1/15/2022,13:59,35,Fall,Y,,22-55107,
3,Battle,BTC,1,A,3,BTC_1_A_3,1/15/2022,14:02,35,Fall,Y,,22-55108,
4,Battle,BTC,2,A,1,BTC22_2_A_1,1/24/2022,11:02,36,Fall,Y,,22-55154,
5,Battle,BTC,2,A,2,BTC22_2_A_2,1/24/2022,11:08,35,Fall,Y,,22-55155,
6,Battle,BTC,2,A,3,BTC22_2_A_3,1/24/2022,11:12,36,Fall,Y,,22-55156,
7,Battle,BTC,3,A,1,BTC22_3_A_1,2/7/2022,10:52,33,Fall,Y,,22-55179,
8,Battle,BTC,3,A,2,BTC22_3_A_2,2/8/2022,12:35,36,Fall,Y,,22-55180,
9,Battle,BTC,4,B,1,BTC22_4_B_1,2/21/2022,7:54,53,Fall,Y,,22-55192,
10,Battle,BTC,4,B,2,BTC22_4_B_2,2/22/2022,9:30,66,Fall,Y,,22-55193,
11,Battle,BTC,4,B,3,BTC22_4_B_3,2/22/2022,9:35,60,Fall,Y,,22-55194,
12,Battle,BTC,6,B,1,BTC22_6_B_1,3/22/2022,9:06,77,Spring,Y,,22-55200,
13,Battle,BTC,6,B,2,BTC22_6_B_2,3/22/2022,9:06,69,Fall,Y,,22-55201,
14,Battle,BTC,6,C,1,BTC22_6_C_1,3/21/2022,9:30,87,Spring,N,Missing sample,,
15,Battle,BTC,7,A,1,BTC22_7_A_1,4/11/2022,9:10,31,Late Fall,Y,,22-55212,
16,Battle,BTC,7,B,1,BTC22_7_B_1,4/5/2022,9:22,79,Fall,Y,,22-55209,
17,Battle,BTC,7,B,2,BTC22_7_B_2,4/11/2022,9:10,71,Fall,Y,,22-55211,
18,Battle,BTC,7,B,3,BTC22_7_B_3,4/11/2022,9:10,79,Fall,Y,,22-55213,
19,Battle,BTC,7,B,4,BTC22_7_B_4,4/11/2022,9:27,73,Fall,Y,,22-55214,
20,Battle,BTC,7,C,1,BTC22_7_C_1,4/11/2022,9:10,89,Spring,Y,,22-55210,
21,Battle,BTC,7,C,2,BTC22_7_C_2,4/12/2022,9:40,93,Spring,Y,,22-55215,
22,Battle,BTC,7,C,3,BTC22_7_C_3,4/12/2022,9:48,85,Spring,Y,,22-55216,
23,Battle,BTC,8,A,1,BTC22_8_A_1,4/18/2022,16:07,47,Fall,Y,,22-55244,
24,Battle,BTC,8,A,2,BTC22_8_A_2,4/18/2022,16:10,33,Late Fall,Y,,22-55245,
25,Battle,BTC,8,A,3,BTC22_8_A_3,4/18/2022,16:13,31,Late Fall,Y,,22-55246,
26,Battle,BTC,8,B,1,BTC22_8_B_1,4/18/2022,16:18,74,Fall,Y,,22-55247,
27,Battle,BTC,8,B,2,BTC22_8_B_2,4/25/2022,11:45,78,Spring,Y,,22-55253,
28,Battle,BTC,8,B,3,BTC22_8_B_3,4/25/2022,11:50,68,Spring,Y,,22-55255,
29,Battle,BTC,8,C,1,BTC22_8_C_1,4/18/2022,16:00,93,Spring,Y,,22-55242,
30,Battle,BTC,8,C,2,BTC22_8_C_2,4/18/2022,16:02,81,Spring,Y,,22-55243,
