sample_id,season
BTC23_11_B_1a,2023
BTC23_11_B_1b,2023
BUT23_11_A_7a,2023
BUT23_11_A_7b,2023
BUT23_11_A_7c,2023
BUT23_11_A_8a,2023
BUT23_11_A_8b,2023
CLR23_14_A_2a,2023
CLR23_14_A_2b,2023
CLR23_9_A_2a,2023
CLR23_9_A_2b,2023
DEER_NON_EVENT,2023
DER23_13_Ext_1,2023
DER23_14_D_5a,2023
DER23_14_D_5b,2023
DER23_3_XTRA_1,2023
DER23_3_XTRA_10,2023
DER23_3_XTRA_11,2023
DER23_3_XTRA_12,2023
DER23_3_XTRA_2,2023
DER23_3_XTRA_3,2023
DER23_3_XTRA_4,2023
DER23_3_XTRA_5,2023
DER23_3_XTRA_6,2023
DER23_3_XTRA_7,2023
DER23_3_XTRA_8,2023
DER23_3_XTRA_9,2023
DER23_4_XTRA_1,2023
DER23_9_A_1a,2023
DER23_9_A_1b,2023
F6123_11_A_29a,2023
F6123_11_A_29b,2023
F6123_11_A_40a,2023
F6123_11_A_40b,2023
F6123_11_A_72a,2023
F6123_11_A_72b,2023
F6123_11_A_72c,2023
F6123_2_A_1_a,2023
F6123_5_A_27_a,2023
F6123_5_A_7_a,2023
F6123_6_A_102_a,2023
F6123_7_A_58a,2023
F6123_7_A_58b,2023
F6123_7_A_77a,2023
F6123_7_A_77b,2023
F6123_8_A_59a,2023
F6123_8_A_59b,2023
F6123_9_A_84a,2023
F6123_9_A_84b,2023
MIL23_3_XTRA_1,2023
MIL23_3_XTRA_2,2023
MIL23_3_XTRA_3,2023
MIL23_4_XTRA_1,2023
Mill_Non_Event_01,2023
Mill_Non_Event_02,2023
Mill_Non_Event_03,2023
Mill_Non_Event_04,2023
Mill_Non_Event_0425,2023
Mill_Non_Event_05,2023
Mill_Non_Event_0514,2023
YUR23_13_A_6a,2023
YUR23_13_A_6b,2023
YUR23_13_A_6c,2023
YUR23_9_A_14a,2023
YUR23_9_A_14b,2023
BTC22_WR_1,2022
BTC22_WR_10,2022
BTC22_WR_2,2022
BTC22_WR_3,2022
BTC22_WR_4,2022
BTC22_WR_5,2022
BTC22_WR_6,2022
BTC22_WR_7,2022
BTC22_WR_8,2022
BTC22_WR_9,2022
SB_2_A_1,2022
SB_2_A_10,2022
SB_2_A_11,2022
SB_2_A_12,2022
SB_2_A_2,2022
SB_2_A_3,2022
SB_2_A_4,2022
SB_2_A_5,2022
SB_2_A_6,2022
SB_2_A_7,2022
SB_2_A_8,2022
SB_2_A_9,2022
TIS22_7_C_7_a,2022
TIS22_7_C_7_b,2022
TIS22_7_C_7_c,2022
BTC24_10_A_1,2024
BTC24_10_C_1,2024
BTC24_13_A_1,2024
BUT24_6_A_1,2024
BUT24_8_A_4,2024
C240375SWP,2024
C240454SWP,2024
C240707SWP,2024
CLR24_10_A_5,2024
CLR24_12_B_7,2024
CLR24_13_A_4,2024
CLR24_13_B_9,2024
CLR24_14_A_5,2024
CLR24_4_A_12_dupe,2024
CLR24_4_A_13_dupe,2024
CLR24_4_A_14,2024
CLR24_4_A_20,2024
CLR24_6_A_1,2024
CLR24_6_A_23,2024
CLR24_6_A_24,2024
CLR24_7_A_21,2024
CLR24_7_A_22,2024
CLR24_8_A_19,2024
CLR24_8_B_1,2024
DEL24_12_B_7,2024
DEL24_12_B_8,2024
DEL24_5_A_10,2024
DEL24_6_A_1,2024
DER24_10_A_4,2024
DER24_14_C_1,2024
DER24_14_C_2,2024
DER24_14_C_3,2024
DER24_4_D_1,2024
DER24_4_D_4,2024
DER24_5_C_3,2024
DER24_6_D_16,2024
DER24_6_D_2,2024
DER24_7_D_1,2024
DER24_9_A_3,2024
DER24_9_D_4,2024
E1_2_P1_EBK_1_1,2024
E1_2_P1_EBK_1_2,2024
E1_2_P1_EBK_1_3,2024
E1_2_P1_EBK_1_4,2024
E3_4_P1_EBK_1_1,2024
E3_4_P1_EBK_1_2,2024
E3_4_P1_EBK_1_3,2024
E3_4_P1_EBK_1_4,2024
E3_4_P2_EBK_1_1,2024
E3_4_P2_EBK_1_2,2024
E3_4_P2_EBK_1_3,2024
E3_4_P2_EBK_1_4,2024
E5_6_P5_EBK_5_1,2024
E5_6_P5_EBK_5_2,2024
E5_6_P5_EBK_5_3,2024
E5_6_P5_EBK_5_4,2024
E5_6_P8_EBK_3_1,2024
E7_8_P5_EBK_5_1,2024
E7_8_P5_EBK_5_2,2024
E7_8_P5_EBK_5_3,2024
E7_8_P5_EBK_5_4,2024
E7_8_P9_EBK_9_1,2024
F1724_10_A_12,2024
F1724_10_A_16,2024
F1724_10_A_4,2024
F1724_12_A_20,2024
F1724_12_A_22,2024
F1724_12_A_7,2024
F1724_13_A_4,2024
F1724_13_A_8,2024
F1724_14_B_5,2024
F1724_3_A_1,2024
F1724_5_A_22,2024
F1724_6_A_12,2024
F1724_6_A_15,2024
F1724_6_A_19,2024
F1724_6_A_4,2024
F1724_6_A_9,2024
F1724_6_C_1,2024
F1724_6_C_2,2024
F1724_8_A_1,2024
F1724_8_A_2,2024
F1724_8_B_3,2024
F6124_10_A_22,2024
F6124_10_A_39,2024
F6124_10_A_4,2024
F6124_10_B_6,2024
F6124_10_B_7,2024
F6124_10_B_8,2024
F6124_10_B_9,2024
F6124_11_A_1,2024
F6124_11_A_38,2024
F6124_11_A_80,2024
F6124_12_A_14,2024
F6124_12_A_19,2024
F6124_12_B_12,2024
F6124_13_A_2,2024
F6124_13_A_5,2024
F6124_13_A_6,2024
F6124_13_B_1,2024
F6124_14_B_2,2024
F6124_14_B_4,2024
F6124_14_B_5,2024
F6124_14_C_3,2024
F6124_3_A_1_dupe,2024
F6124_3_A_15_dupe,2024
F6124_3_A_16_dupe,2024
F6124_3_A_7_dupe,2024
F6124_5_A_36,2024
F6124_5_A_5,2024
F6124_7_A_14,2024
F6124_7_A_21,2024
F6124_7_A_45,2024
F6124_7_A_5,2024
F6124_7_A_70,2024
F6124_8_A_47,2024
F6124_8_A_52,2024
F6124_8_A_55,2024
F6124_8_A_69,2024
F6124_8_A_91,2024
F6124_9_A_12,2024
F6124_9_A_37,2024
F6124_9_A_57,2024
F6124_9_A_65,2024
KNL24_14_C_2,2024
KNL24_14_D_3,2024
KNL24_4_B_1,2024
KNL24_5_A_1,2024
KNL24_5_A_6,2024
KNL24_5_B_1,2024
KNL24_5_B_2,2024
KNL24_5_B_3,2024
KNL24_5_C_1,2024
KNL24_5_C_2,2024
KNL24_5_C_3,2024
KNL24_7_A_22,2024
KNL24_7_A_30,2024
KNL24_7_A_4,2024
KNL24_7_A_5,2024
KNL24_7_C_4,2024
KNL24_9_A_4,2024
MIL24_11_A_17,2024
MIL24_11_B_4,2024
MIL24_12_A_1,2024
MIL24_12_C_3,2024
MIL24_13_B_1,2024
MIL24_13_C_10,2024
MIL24_13_C_7,2024
MIL24_13_C_8,2024
MIL24_13_C_9,2024
MIL24_13_D_2,2024
Mil24_13_D_3,2024
MIL24_14_C_1,2024
MIL24_14_C_4,2024
MIL24_14_D_1,2024
MIL24_14_D_2,2024
MIL24_5_A_6,2024
MIL24_6_A_14,2024
MIL24_6_D_2,2024
MIL24_6_D_3,2024
MIL24_6_D_4,2024
MIL24_7_A_13,2024
MIL24_7_A_5,2024
MIL24_8_A_18,2024
MIL24_8_A_21,2024
TIS24_11_C_10,2024
TIS24_11_C_2,2024
TIS24_11_C_3,2024
TIS24_11_C_4,2024
TIS24_11_C_5,2024
TIS24_11_C_6,2024
TIS24_11_C_7,2024
TIS24_11_C_8,2024
TIS24_11_C_9,2024
TIS24_11_D_1,2024
TIS24_11_D_2,2024
TIS24_11_D_3,2024
TIS24_11_D_4,2024
TIS24_11_D_5,2024
TIS24_5_A_11,2024
TIS24_5_A_16,2024
TIS24_5_B_2,2024
TIS24_6_A_16,2024
TIS24_6_A_20,2024
TIS24_6_A_21,2024
TIS24_6_A_28,2024
TIS24_6_A_30,2024
TIS24_6_B_5,2024
TIS24_8_A_11,2024
TIS24_8_A_13,2024
TIS24_8_A_14,2024
TIS24_8_A_8,2024
TIS24_9_A_12,2024
TIS24_9_A_18,2024
TIS24_9_A_25,2024
YUR24_14_A_2,2024
YUR24_14_A_4,2024
YUR24_14_A_5,2024
YUR24_14_B_1,2024
YUR24_14_B_4,2024
YUR24_14_B_5,2024
YUR24_3_A_15_dupe,2024
YUR24_3_A_2_dupe,2024
YUR24_3_A_5_dupe,2024
YUR24_3_A_6_dupe,2024
YUR24_4_A_11_dupe,2024
YUR24_4_A_4_dupe,2024
YUR24_7_A_1,2024
YUR24_7_A_2,2024
YUR24_7_A_3,2024
YUR24_8_A_6,2024
