sample_id,gtseq_chr28_geno,pop_structure_id,cv_fall,cv_late_fall,cv_spring,cv_winter,tributary,butte_fall,fr_hfall,fr_hsp,mill_deer_fall,san_joaquin_fall,butte_sp,mill_deer_sp,coleman_lf,sac_win,reason_not_added
BTC22_6_C_1,NA,FALL,0.94,0.05,0.01,0,NA,0.07,0.143,0.04,0.323,0.368,0.01,0,0.046,0,CASE 1
BTC22_7_B_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
BTC22_7_C_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
BTC22_7_C_2,NA,FALL,0.67,0.01,0.32,0,NA,0.009,0.289,0.308,0.044,0.024,0.316,0.001,0.01,0,CASE 1
BTC22_7_C_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
BTC22_8_B_1,NA,FALL,0.85,0.02,0.13,0,NA,0.031,0.399,0.056,0.336,0.032,0.127,0.002,0.017,0,CASE 1
BTC22_8_B_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
BTC22_8_C_2,NA,SPRING,0.03,0,0.97,0,ButteSp,0.001,0.019,0.001,0.001,0.003,0.974,0,0,0,CASE 1
BTC22_8_C_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
BTC22_WR_1,EARLY,WINTER,0,0,0,1,NA,0,0,0,0,0,0,0,0,1,NONSTANDARD SAMPLE ID
BTC22_WR_10,EARLY,WINTER,0,0,0,1,NA,0,0,0,0,0,0,0,0,1,NONSTANDARD SAMPLE ID
BTC22_WR_2,EARLY,WINTER,0,0,0,1,NA,0,0,0,0,0,0,0,0,1,NONSTANDARD SAMPLE ID
BTC22_WR_3,EARLY,WINTER,0,0,0,1,NA,0,0,0,0,0,0,0,0,1,NONSTANDARD SAMPLE ID
BTC22_WR_4,EARLY,WINTER,0,0,0,1,NA,0,0,0,0,0,0,0,0,1,NONSTANDARD SAMPLE ID
BTC22_WR_5,EARLY,WINTER,0,0,0,1,NA,0,0,0,0,0,0,0,0,1,NONSTANDARD SAMPLE ID
BTC22_WR_6,EARLY,WINTER,0,0,0,1,NA,0,0,0,0,0,0,0,0,1,NONSTANDARD SAMPLE ID
BTC22_WR_7,EARLY,WINTER,0,0,0,1,NA,0,0,0,0,0,0,0,0,1,NONSTANDARD SAMPLE ID
BTC22_WR_8,EARLY,WINTER,0,0,0,1,NA,0,0,0,0,0,0,0,0,1,NONSTANDARD SAMPLE ID
BTC22_WR_9,EARLY,WINTER,0,0,0,1,NA,0,0,0,0,0,0,0,0,1,NONSTANDARD SAMPLE ID
BUT22_3_A_4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
CLR22_1_A_2,NA,SPRING,0.25,0.02,0.73,0,ButteSp,0.013,0.086,0.011,0.014,0.127,0.731,0,0.019,0,CASE 1
CLR22_2_A_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
CLR22_3_A_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
CLR22_3_A_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
CLR22_6_A_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
CLR22_6_B_1,NA,FALL,0.99,0.01,0,0,NA,0.033,0.429,0.034,0.416,0.076,0.003,0,0.01,0,CASE 1
CLR22_7_A_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
CLR22_7_B_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
CLR22_7_C_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
CLR22_8_B_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
CLR22_8_B_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
CLR22_8_B_3,NA,FALL,1,0,0,0,NA,0.02,0.6,0.036,0.061,0.279,0,0,0.005,0,CASE 1
CLR22_8_C_2,NA,FALL,0.99,0.01,0,0,NA,0.036,0.337,0.152,0.022,0.448,0,0,0.005,0,CASE 1
CLR22_10_B_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
DEL22_4_B_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
DEL22_9_D_3,EARLY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
F1722_10_A_17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
F1722_10_A_21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
F1722_10_A_23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
F1722_10_A_25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
F1722_10_A_5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA
