location,sample_id,sample_type_id,assay_id,plate_run_id
A1,FTH_RM1722_4_B_60,1,1,
A2,FTH_RM1722_4_C_61,1,1,
A3,FTH_RM1722_4_C_62,1,1,
A4,FTH_RM1722_4_C_63,1,1,
A6,FTH_RM1722_4_C_64,1,1,
A7,FTH_RM1722_4_C_65,1,1,
A8,FTH_RM1722_4_C_66,1,1,
A9,FTH_RM1722_4_C_67,1,1,
A10,FTH_RM1722_4_C_68,1,1,
A11,FTH_RM1722_4_C_69,1,1,
A13,FTH_RM1722_4_C_70,1,1,
A14,FTH_RM1722_4_C_71,1,1,
A15,FTH_RM1722_4_C_72,1,1,
A16,FTH_RM1722_4_C_73,1,1,
A17,FTH_RM1722_4_C_74,1,1,
A18,FTH_RM1722_4_C_75,1,1,
A19,FTH_RM1722_4_C_76,1,1,
A20,FTH_RM1722_4_C_77,1,1,
A21,FTH_RM1722_4_C_78,1,1,
A22,FTH_RM1722_4_C_79,1,1,
A23,FTH_RM1722_4_C_80,1,1,
B1,FTH_RM1722_4_C_81,1,1,
B2,FTH_RM1722_4_C_82,1,1,
B3,FTH_RM1722_4_C_83,1,1,
B4,FTH_RM1722_4_C_84,1,1,
B5,FTH_RM1722_4_C_85,1,1,
B6,FTH_RM1722_4_C_86,1,1,
B7,FTH_RM1722_4_C_87,1,1,
B8,FTH_RM1722_4_C_88,1,1,
B9,FTH_RM1722_4_C_89,1,1,
B10,FTH_RM1722_4_C_90,1,1,
B11,FTH_RM1722_5_A_1,1,1,
B13,FTH_RM1722_5_A_2,1,1,
B14,FTH_RM1722_5_A_3,1,1,
B15,FTH_RM1722_5_A_4,1,1,
B17,FTH_RM1722_5_A_5,1,1,
B18,FTH_RM1722_5_A_6,1,1,
B19,FTH_RM1722_5_A_7,1,1,
B20,FTH_RM1722_5_A_8,1,1,
B21,FTH_RM1722_5_A_9,1,1,
B22,FTH_RM1722_5_A_10,1,1,
B23,FTH_RM1722_5_A_11,1,1,
B24,FTH_RM1722_5_A_12,1,1,
C1,FTH_RM1722_5_A_13,1,1,
C2,FTH_RM1722_5_A_14,1,1,
C3,FTH_RM1722_5_A_15,1,1,
C4,FTH_RM1722_5_A_16,1,1,
C5,FTH_RM1722_5_A_17,1,1,
C6,FTH_RM1722_5_A_18,1,1,
C7,FTH_RM1722_5_A_19,1,1,
C8,FTH_RM1722_5_A_20,1,1,
C9,FTH_RM1722_5_A_21,1,1,
C10,FTH_RM1722_5_A_22,1,1,
C11,FTH_RM1722_5_A_23,1,1,
C13,FTH_RM1722_5_A_24,1,1,
C14,FTH_RM1722_5_A_25,1,1,
C15,FTH_RM1722_5_A_26,1,1,
C16,FTH_RM1722_5_A_27,1,1,
C17,FTH_RM1722_5_A_28,1,1,
C18,FTH_RM1722_5_A_29,1,1,
C19,FTH_RM1722_5_A_30,1,1,
C20,FTH_RM1722_5_B_31,1,1,
C21,FTH_RM1722_5_B_32,1,1,
C22,FTH_RM1722_5_B_33,1,1,
C23,FTH_RM1722_5_B_34,1,1,
C24,CONTROL,1,1,
D1,FTH_RM1722_5_B_36,1,1,
D2,FTH_RM1722_5_B_37,1,1,
D3,FTH_RM1722_5_B_38,1,1,
D4,FTH_RM1722_5_B_39,1,1,
D5,FTH_RM1722_5_B_40,1,1,
D6,FTH_RM1722_5_B_41,1,1,
D8,FTH_RM1722_5_B_42,1,1,
D9,FTH_RM1722_5_B_43,1,1,
D10,FTH_RM1722_5_B_44,1,1,
D11,FTH_RM1722_5_B_45,1,1,
D13,FTH_RM1722_5_B_46,1,1,
D14,FTH_RM1722_5_B_47,1,1,
D15,FTH_RM1722_5_B_48,1,1,
D16,FTH_RM1722_5_B_49,1,1,
D17,FTH_RM1722_5_B_50,1,1,
D18,FTH_RM1722_5_B_51,1,1,
D19,FTH_RM1722_5_B_52,1,1,
D20,FTH_RM1722_5_B_53,1,1,
D21,FTH_RM1722_5_B_54,1,1,
D22,FTH_RM1722_5_B_55,1,1,
D23,FTH_RM1722_5_B_56,1,1,
D24,FTH_RM1722_5_B_57,1,1,
E1,FTH_RM1722_5_B_58,1,1,
E2,FTH_RM1722_5_B_59,1,1,
E3,FTH_RM1722_5_B_60,1,1,
E4,FTH_RM1722_5_C_61,1,1,
E5,FTH_RM1722_5_C_62,1,1,
E6,FTH_RM1722_5_C_63,1,1,
E7,FTH_RM1722_5_C_64,1,1,
E8,FTH_RM1722_5_C_65,1,1,
E9,FTH_RM1722_5_C_66,1,1,
E10,FTH_RM1722_5_C_67,1,1,
E11,FTH_RM1722_5_C_68,1,1,
E13,FTH_RM1722_5_C_69,1,1,
E14,FTH_RM1722_5_C_70,1,1,
E15,FTH_RM1722_5_C_71,1,1,
E16,FTH_RM1722_5_C_72,1,1,
E18,FTH_RM1722_5_C_73,1,1,
E19,FTH_RM1722_5_C_74,1,1,
E20,FTH_RM1722_5_C_75,1,1,
E21,FTH_RM1722_5_C_76,1,1,
E22,FTH_RM1722_5_C_77,1,1,
F1,FTH_RM1722_5_C_78,1,1,
F2,FTH_RM1722_5_C_79,1,1,
F3,FTH_RM1722_5_C_80,1,1,
F4,FTH_RM1722_5_C_81,1,1,
F5,FTH_RM1722_5_C_82,1,1,
F6,FTH_RM1722_5_C_83,1,1,
F7,FTH_RM1722_5_C_84,1,1,
F8,FTH_RM1722_5_C_85,1,1,
F9,FTH_RM1722_5_C_86,1,1,
F11,FTH_RM1722_5_C_87,1,1,
F13,FTH_RM1722_5_C_88,1,1,
F14,FTH_RM1722_5_C_89,1,1,
F15,FTH_RM1722_5_C_90,1,1,
F16,FTH_RM1722_5_D_91,1,1,
F17,FTH_RM1722_5_D_92,1,1,
F18,FTH_RM1722_5_D_93,1,1,
F19,FTH_RM1722_5_D_94,1,1,
F20,FTH_RM1722_5_D_95,1,1,
F21,FTH_RM1722_5_D_96,1,1,
F22,FTH_RM1722_5_D_97,1,1,
F23,FTH_RM1722_5_D_98,1,1,
G1,FTH_RM1722_5_D_99,1,1,
G2,FTH_RM1722_5_D_100,1,1,
G3,FTH_RM1722_5_D_101,1,1,
G4,FTH_RM1722_5_D_102,1,1,
G5,FTH_RM1722_5_D_103,1,1,
G6,FTH_RM1722_5_D_104,1,1,
G7,FTH_RM1722_5_D_105,1,1,
G8,FTH_RM1722_5_D_106,1,1,
G9,FTH_RM1722_5_D_107,1,1,
G10,FTH_RM1722_5_D_108,1,1,
G11,FTH_RM1722_5_D_109,1,1,
G13,FTH_RM1722_5_D_110,1,1,
G14,CONTROL,1,1,
G15,FTH_RM1722_5_D_112,1,1,
G16,FTH_RM1722_5_D_113,1,1,
G17,FTH_RM1722_5_D_114,1,1,
G18,FTH_RM1722_5_D_115,1,1,
G19,FTH_RM1722_5_D_116,1,1,
G21,FTH_RM1722_5_D_117,1,1,
G22,FTH_RM1722_5_D_118,1,1,
G23,FTH_RM1722_5_D_119,1,1,
H1,FTH_RM1722_5_D_120,1,1,
H2,FTH_RM1722_6_A_1,1,1,
H3,FTH_RM1722_6_A_2,1,1,
H4,FTH_RM1722_6_A_3,1,1,
H5,CONTROL,1,1,
H6,FTH_RM1722_6_A_5,1,1,
H7,FTH_RM1722_6_A_6,1,1,
H8,FTH_RM1722_6_A_7,1,1,
H9,FTH_RM1722_6_A_8,1,1,
H10,FTH_RM1722_6_A_9,1,1,
H11,FTH_RM1722_6_A_10,1,1,
H13,FTH_RM1722_6_A_11,1,1,
H14,FTH_RM1722_6_A_12,1,1,
H15,FTH_RM1722_6_A_13,1,1,
H16,FTH_RM1722_6_A_14,1,1,
H17,FTH_RM1722_6_A_15,1,1,
H18,FTH_RM1722_6_A_16,1,1,
H19,FTH_RM1722_6_A_17,1,1,
H20,FTH_RM1722_6_A_18,1,1,
H21,FTH_RM1722_6_A_19,1,1,
H22,FTH_RM1722_6_A_20,1,1,
H23,FTH_RM1722_6_A_21,1,1,
H24,FTH_RM1722_6_A_22,1,1,
I1,FTH_RM1722_6_A_23,1,1,
I3,FTH_RM1722_6_A_24,1,1,
I4,FTH_RM1722_6_A_25,1,1,
I5,FTH_RM1722_6_A_26,1,1,
I6,FTH_RM1722_6_A_27,1,1,
I7,FTH_RM1722_6_A_28,1,1,
I8,FTH_RM1722_6_A_29,1,1,
I9,FTH_RM1722_6_A_30,1,1,
I10,FTH_RM1722_6_B_31,1,1,
I13,FTH_RM1722_6_B_32,1,1,
I14,FTH_RM1722_6_B_33,1,1,
I15,FTH_RM1722_6_B_34,1,1,
I16,FTH_RM1722_6_B_35,1,1,
I17,FTH_RM1722_6_B_36,1,1,
I18,FTH_RM1722_6_B_37,1,1,
I19,FTH_RM1722_6_B_38,1,1,
I20,FTH_RM1722_6_B_39,1,1,
I21,FTH_RM1722_6_B_40,1,1,
I23,FTH_RM1722_6_B_41,1,1,
J1,FTH_RM1722_6_B_42,1,1,
J2,FTH_RM1722_6_B_43,1,1,
J3,FTH_RM1722_6_B_44,1,1,
J4,FTH_RM1722_6_B_45,1,1,
J5,FTH_RM1722_6_B_46,1,1,
J6,FTH_RM1722_6_B_47,1,1,
J7,FTH_RM1722_6_B_48,1,1,
J8,FTH_RM1722_6_B_49,1,1,
J9,FTH_RM1722_6_B_50,1,1,
J11,FTH_RM1722_6_B_51,1,1,
J13,FTH_RM1722_6_B_52,1,1,
J14,FTH_RM1722_6_B_53,1,1,
J15,FTH_RM1722_6_B_54,1,1,
J16,FTH_RM1722_6_B_55,1,1,
J17,FTH_RM1722_6_B_56,1,1,
J18,FTH_RM1722_6_B_57,1,1,
J19,FTH_RM1722_6_B_58,1,1,
J20,FTH_RM1722_6_B_59,1,1,
J22,FTH_RM1722_6_B_60,1,1,
J23,FTH_RM1722_6_C_61,1,1,
J24,FTH_RM1722_6_C_62,1,1,
K1,FTH_RM1722_6_C_63,1,1,
K2,FTH_RM1722_6_C_64,1,1,
K3,FTH_RM1722_6_C_65,1,1,
K4,FTH_RM1722_6_C_66,1,1,
K5,FTH_RM1722_6_C_67,1,1,
K6,FTH_RM1722_6_C_68,1,1,
K7,FTH_RM1722_6_C_69,1,1,
K8,FTH_RM1722_6_C_70,1,1,
K9,FTH_RM1722_6_C_71,1,1,
K13,FTH_RM1722_6_C_72,1,1,
K14,FTH_RM1722_6_C_73,1,1,
K15,FTH_RM1722_6_C_74,1,1,
K16,FTH_RM1722_6_C_75,1,1,
K17,FTH_RM1722_6_C_76,1,1,
K18,FTH_RM1722_6_C_77,1,1,
K19,FTH_RM1722_6_C_78,1,1,
K20,FTH_RM1722_6_C_79,1,1,
K21,FTH_RM1722_6_C_80,1,1,
K22,FTH_RM1722_6_C_81,1,1,
L1,FTH_RM1722_6_C_82,1,1,
L2,FTH_RM1722_6_C_83,1,1,
L3,FTH_RM1722_6_C_84,1,1,
L4,FTH_RM1722_6_C_85,1,1,
L5,FTH_RM1722_6_C_86,1,1,
L6,FTH_RM1722_6_C_87,1,1,
L7,FTH_RM1722_6_C_88,1,1,
L8,FTH_RM1722_6_C_89,1,1,
L9,FTH_RM1722_6_C_90,1,1,
L10,FTH_RM1722_6_D_91,1,1,
L11,FTH_RM1722_6_D_92,1,1,
L13,FTH_RM1722_6_D_93,1,1,
L14,FTH_RM1722_6_D_94,1,1,
L15,FTH_RM1722_6_D_95,1,1,
L16,FTH_RM1722_6_D_96,1,1,
L18,FTH_RM1722_6_D_97,1,1,
L19,FTH_RM1722_6_D_98,1,1,
L20,FTH_RM1722_6_D_99,1,1,
L21,FTH_RM1722_6_D_100,1,1,
L22,FTH_RM1722_6_D_101,1,1,
L23,FTH_RM1722_6_D_102,1,1,
M1,FTH_RM1722_6_D_103,1,1,
M2,FTH_RM1722_6_D_104,1,1,
M3,FTH_RM1722_6_D_105,1,1,
M4,FTH_RM1722_6_D_106,1,1,
M5,FTH_RM1722_6_D_107,1,1,
M6,FTH_RM1722_6_D_108,1,1,
M7,FTH_RM1722_6_D_109,1,1,
M8,FTH_RM1722_6_D_110,1,1,
M9,FTH_RM1722_6_D_111,1,1,
M10,FTH_RM1722_6_D_112,1,1,
M13,FTH_RM1722_6_D_113,1,1,
M14,FTH_RM1722_6_D_114,1,1,
M15,FTH_RM1722_6_D_115,1,1,
M17,FTH_RM1722_6_D_116,1,1,
M18,FTH_RM1722_6_D_117,1,1,
M19,FTH_RM1722_6_D_118,1,1,
M20,FTH_RM1722_6_D_119,1,1,
M21,FTH_RM1722_6_D_120,1,1,
M22,FTH_RM1722_7_A_1,1,1,
M23,FTH_RM1722_7_A_2,1,1,
N1,FTH_RM1722_7_A_3,1,1,
N2,FTH_RM1722_7_A_4,1,1,
N3,FTH_RM1722_7_A_5,1,1,
N4,FTH_RM1722_7_A_6,1,1,
N5,FTH_RM1722_7_A_7,1,1,
N6,FTH_RM1722_7_A_8,1,1,
N7,FTH_RM1722_7_A_9,1,1,
N8,FTH_RM1722_7_A_10,1,1,
N9,FTH_RM1722_7_A_11,1,1,
N10,FTH_RM1722_7_A_12,1,1,
N11,FTH_RM1722_7_A_13,1,1,
N13,FTH_RM1722_7_A_14,1,1,
N14,FTH_RM1722_7_A_15,1,1,
N15,FTH_RM1722_7_A_16,1,1,
N16,FTH_RM1722_7_A_17,1,1,
N17,FTH_RM1722_7_A_18,1,1,
N18,FTH_RM1722_7_A_19,1,1,
N20,FTH_RM1722_7_A_20,1,1,
N22,FTH_RM1722_7_A_21,1,1,
N23,FTH_RM1722_7_A_22,1,1,
N24,FTH_RM1722_7_A_23,1,1,
O1,FTH_RM1722_7_A_24,1,1,
O2,FTH_RM1722_7_A_25,1,1,
O3,FTH_RM1722_7_A_26,1,1,
O4,FTH_RM1722_7_A_27,1,1,
O5,FTH_RM1722_7_A_28,1,1,
O6,FTH_RM1722_7_A_29,1,1,
