location,sample_id,sample_type_id,assay_id,plate_run_id
A1,FTH_RM1722_4_B_60,1,2,
A2,FTH_RM1722_4_C_61,1,2,
A3,FTH_RM1722_4_C_62,1,2,
A4,FTH_RM1722_4_C_63,1,2,
A6,FTH_RM1722_4_C_64,1,2,
A7,FTH_RM1722_4_C_65,1,2,
A8,FTH_RM1722_4_C_66,1,2,
A9,FTH_RM1722_4_C_67,1,2,
A10,FTH_RM1722_4_C_68,1,2,
A11,FTH_RM1722_4_C_69,1,2,
A13,FTH_RM1722_4_C_70,1,2,
A14,FTH_RM1722_4_C_71,1,2,
A15,FTH_RM1722_4_C_72,1,2,
A16,FTH_RM1722_4_C_73,1,2,
A17,FTH_RM1722_4_C_74,1,2,
A18,FTH_RM1722_4_C_75,1,2,
A19,FTH_RM1722_4_C_76,1,2,
A20,FTH_RM1722_4_C_77,1,2,
A21,FTH_RM1722_4_C_78,1,2,
A22,FTH_RM1722_4_C_79,1,2,
A23,FTH_RM1722_4_C_80,1,2,
B1,FTH_RM1722_4_C_81,1,2,
B2,FTH_RM1722_4_C_82,1,2,
B3,FTH_RM1722_4_C_83,1,2,
B4,FTH_RM1722_4_C_84,1,2,
B5,FTH_RM1722_4_C_85,1,2,
B6,FTH_RM1722_4_C_86,1,2,
B7,FTH_RM1722_4_C_87,1,2,
B8,FTH_RM1722_4_C_88,1,2,
B9,FTH_RM1722_4_C_89,1,2,
B10,FTH_RM1722_4_C_90,1,2,
B11,FTH_RM1722_5_A_1,1,2,
B13,FTH_RM1722_5_A_2,1,2,
B14,FTH_RM1722_5_A_3,1,2,
B15,FTH_RM1722_5_A_4,1,2,
B17,FTH_RM1722_5_A_5,1,2,
B18,FTH_RM1722_5_A_6,1,2,
B19,FTH_RM1722_5_A_7,1,2,
B20,FTH_RM1722_5_A_8,1,2,
B21,FTH_RM1722_5_A_9,1,2,
B22,FTH_RM1722_5_A_10,1,2,
B23,FTH_RM1722_5_A_11,1,2,
B24,FTH_RM1722_5_A_12,1,2,
C1,FTH_RM1722_5_A_13,1,2,
C2,FTH_RM1722_5_A_14,1,2,
C3,FTH_RM1722_5_A_15,1,2,
C4,FTH_RM1722_5_A_16,1,2,
C5,FTH_RM1722_5_A_17,1,2,
C6,FTH_RM1722_5_A_18,1,2,
C7,FTH_RM1722_5_A_19,1,2,
C8,FTH_RM1722_5_A_20,1,2,
C9,FTH_RM1722_5_A_21,1,2,
C10,FTH_RM1722_5_A_22,1,2,
C11,FTH_RM1722_5_A_23,1,2,
C13,FTH_RM1722_5_A_24,1,2,
C14,FTH_RM1722_5_A_25,1,2,
C15,FTH_RM1722_5_A_26,1,2,
C16,FTH_RM1722_5_A_27,1,2,
C17,FTH_RM1722_5_A_28,1,2,
C18,FTH_RM1722_5_A_29,1,2,
C19,FTH_RM1722_5_A_30,1,2,
C20,FTH_RM1722_5_B_31,1,2,
C21,FTH_RM1722_5_B_32,1,2,
C22,FTH_RM1722_5_B_33,1,2,
C23,FTH_RM1722_5_B_34,1,2,
C24,CONTROL,1,2,
D1,FTH_RM1722_5_B_36,1,2,
D2,FTH_RM1722_5_B_37,1,2,
D3,FTH_RM1722_5_B_38,1,2,
D4,FTH_RM1722_5_B_39,1,2,
D5,FTH_RM1722_5_B_40,1,2,
D6,FTH_RM1722_5_B_41,1,2,
D8,FTH_RM1722_5_B_42,1,2,
D9,FTH_RM1722_5_B_43,1,2,
D10,FTH_RM1722_5_B_44,1,2,
D11,FTH_RM1722_5_B_45,1,2,
D13,FTH_RM1722_5_B_46,1,2,
D14,FTH_RM1722_5_B_47,1,2,
D15,FTH_RM1722_5_B_48,1,2,
D16,FTH_RM1722_5_B_49,1,2,
D17,FTH_RM1722_5_B_50,1,2,
D18,FTH_RM1722_5_B_51,1,2,
D19,FTH_RM1722_5_B_52,1,2,
D20,FTH_RM1722_5_B_53,1,2,
D21,FTH_RM1722_5_B_54,1,2,
D22,FTH_RM1722_5_B_55,1,2,
D23,FTH_RM1722_5_B_56,1,2,
D24,FTH_RM1722_5_B_57,1,2,
E1,FTH_RM1722_5_B_58,1,2,
E2,FTH_RM1722_5_B_59,1,2,
E3,FTH_RM1722_5_B_60,1,2,
E4,FTH_RM1722_5_C_61,1,2,
E5,FTH_RM1722_5_C_62,1,2,
E6,FTH_RM1722_5_C_63,1,2,
E7,FTH_RM1722_5_C_64,1,2,
E8,FTH_RM1722_5_C_65,1,2,
E9,FTH_RM1722_5_C_66,1,2,
E10,FTH_RM1722_5_C_67,1,2,
E11,FTH_RM1722_5_C_68,1,2,
E13,FTH_RM1722_5_C_69,1,2,
E14,FTH_RM1722_5_C_70,1,2,
E15,FTH_RM1722_5_C_71,1,2,
E16,FTH_RM1722_5_C_72,1,2,
E18,FTH_RM1722_5_C_73,1,2,
E19,FTH_RM1722_5_C_74,1,2,
E20,FTH_RM1722_5_C_75,1,2,
E21,FTH_RM1722_5_C_76,1,2,
E22,FTH_RM1722_5_C_77,1,2,
F1,FTH_RM1722_5_C_78,1,2,
F2,FTH_RM1722_5_C_79,1,2,
F3,FTH_RM1722_5_C_80,1,2,
F4,FTH_RM1722_5_C_81,1,2,
F5,FTH_RM1722_5_C_82,1,2,
F6,FTH_RM1722_5_C_83,1,2,
F7,FTH_RM1722_5_C_84,1,2,
F8,FTH_RM1722_5_C_85,1,2,
F9,FTH_RM1722_5_C_86,1,2,
F11,FTH_RM1722_5_C_87,1,2,
