location_code,sample_event_number,first_sample_date,sample_bin_code,min_fork_length,max_fork_length,expected_number_of_samples
BTC,3,2022-02-07,A,25,53,3
BTC,3,2022-02-07,A,25,53,3
BTC,3,2022-02-07,A,25,53,3
BTC,3,2022-02-07,B,53,81,3
BTC,3,2022-02-07,B,53,81,3
BTC,3,2022-02-07,B,53,81,3
BTC,3,2022-02-07,C,81,109,3
BTC,3,2022-02-07,C,81,109,3
BTC,3,2022-02-07,C,81,109,3
BTC,3,2022-02-07,D,109,137,3
BTC,3,2022-02-07,D,109,137,3
BTC,3,2022-02-07,D,109,137,3
BTC,4,2022-02-21,A,25,53,3
BTC,4,2022-02-21,A,25,53,3
BTC,4,2022-02-21,A,25,53,3
BTC,4,2022-02-21,B,53,81,3
BTC,4,2022-02-21,B,53,81,3
BTC,4,2022-02-21,B,53,81,3
BTC,4,2022-02-21,C,81,109,3
BTC,4,2022-02-21,C,81,109,3
BTC,4,2022-02-21,C,81,109,3
BTC,4,2022-02-21,D,109,137,3
BTC,4,2022-02-21,D,109,137,3
BTC,4,2022-02-21,D,109,137,3
BTC,5,2022-03-07,A,25,53,3
BTC,5,2022-03-07,A,25,53,3
BTC,5,2022-03-07,A,25,53,3
BTC,5,2022-03-07,B,53,81,3
BTC,5,2022-03-07,B,53,81,3
BTC,5,2022-03-07,B,53,81,3
BTC,5,2022-03-07,C,81,109,3
BTC,5,2022-03-07,C,81,109,3
BTC,5,2022-03-07,C,81,109,3
BTC,5,2022-03-07,D,109,137,3
BTC,5,2022-03-07,D,109,137,3
BTC,5,2022-03-07,D,109,137,3
BTC,5,2022-03-07,E,137,165,3
BTC,5,2022-03-07,E,137,165,3
BTC,5,2022-03-07,E,137,165,3
BTC,6,2022-03-21,A,25,53,3
BTC,6,2022-03-21,A,25,53,3
BTC,6,2022-03-21,A,25,53,3
BTC,6,2022-03-21,B,53,81,3
BTC,6,2022-03-21,B,53,81,3
BTC,6,2022-03-21,B,53,81,3
BTC,6,2022-03-21,C,81,109,3
BTC,6,2022-03-21,C,81,109,3
BTC,6,2022-03-21,C,81,109,3
BTC,6,2022-03-21,D,109,137,3
BTC,6,2022-03-21,D,109,137,3
BTC,6,2022-03-21,D,109,137,3
BTC,6,2022-03-21,E,137,165,3
BTC,6,2022-03-21,E,137,165,3
BTC,6,2022-03-21,E,137,165,3
BTC,7,2022-04-04,A,25,53,3
BTC,7,2022-04-04,A,25,53,3
BTC,7,2022-04-04,A,25,53,3
BTC,7,2022-04-04,B,53,81,3
BTC,7,2022-04-04,B,53,81,3
BTC,7,2022-04-04,B,53,81,3
BTC,7,2022-04-04,C,81,109,3
BTC,7,2022-04-04,C,81,109,3
BTC,7,2022-04-04,C,81,109,3
BTC,7,2022-04-04,D,109,137,3
BTC,7,2022-04-04,D,109,137,3
BTC,7,2022-04-04,D,109,137,3
BTC,7,2022-04-04,E,137,165,3
BTC,7,2022-04-04,E,137,165,3
BTC,7,2022-04-04,E,137,165,3
BTC,8,2022-04-18,A,25,53,3
BTC,8,2022-04-18,A,25,53,3
BTC,8,2022-04-18,A,25,53,3
BTC,8,2022-04-18,B,53,81,3
BTC,8,2022-04-18,B,53,81,3
BTC,8,2022-04-18,B,53,81,3
BTC,8,2022-04-18,C,81,109,3
BTC,8,2022-04-18,C,81,109,3
BTC,8,2022-04-18,C,81,109,3
BTC,8,2022-04-18,D,109,137,3
BTC,8,2022-04-18,D,109,137,3
BTC,8,2022-04-18,D,109,137,3
BTC,8,2022-04-18,E,137,165,3
BTC,8,2022-04-18,E,137,165,3
BTC,8,2022-04-18,E,137,165,3
BTC,9,2022-05-02,A,25,53,3
BTC,9,2022-05-02,A,25,53,3
BTC,9,2022-05-02,A,25,53,3
BTC,9,2022-05-02,B,53,81,3
BTC,9,2022-05-02,B,53,81,3
BTC,9,2022-05-02,B,53,81,3
BTC,9,2022-05-02,C,81,109,3
BTC,9,2022-05-02,C,81,109,3
BTC,9,2022-05-02,C,81,109,3
BTC,9,2022-05-02,D,109,137,3
BTC,9,2022-05-02,D,109,137,3
BTC,9,2022-05-02,D,109,137,3
BTC,9,2022-05-02,E,137,165,3
BTC,9,2022-05-02,E,137,165,3
BTC,9,2022-05-02,E,137,165,3
BTC,10,2022-05-16,A,25,53,3
BTC,10,2022-05-16,A,25,53,3
BTC,10,2022-05-16,A,25,53,3
BTC,10,2022-05-16,B,53,81,3
BTC,10,2022-05-16,B,53,81,3
BTC,10,2022-05-16,B,53,81,3
BTC,10,2022-05-16,C,81,109,3
BTC,10,2022-05-16,C,81,109,3
BTC,10,2022-05-16,C,81,109,3
BTC,10,2022-05-16,D,109,137,3
BTC,10,2022-05-16,D,109,137,3
BTC,10,2022-05-16,D,109,137,3
BTC,10,2022-05-16,E,137,165,3
BTC,10,2022-05-16,E,137,165,3
BTC,10,2022-05-16,E,137,165,3
BUT,3,2022-02-07,A,30,50,4
BUT,3,2022-02-07,A,30,50,4
BUT,3,2022-02-07,A,30,50,4
BUT,3,2022-02-07,A,30,50,4
BUT,4,2022-02-21,A,30,50,4
BUT,4,2022-02-21,A,30,50,4
BUT,4,2022-02-21,A,30,50,4
BUT,4,2022-02-21,A,30,50,4
BUT,4,2022-02-21,B,50,70,4
BUT,4,2022-02-21,B,50,70,4
BUT,4,2022-02-21,B,50,70,4
BUT,4,2022-02-21,B,50,70,4
BUT,5,2022-03-07,A,30,50,4
BUT,5,2022-03-07,A,30,50,4
BUT,5,2022-03-07,A,30,50,4
BUT,5,2022-03-07,A,30,50,4
BUT,5,2022-03-07,B,50,70,4
BUT,5,2022-03-07,B,50,70,4
BUT,5,2022-03-07,B,50,70,4
BUT,5,2022-03-07,B,50,70,4
